libcurl3t64-gnutls	8.14.1-2+deb13u5	curl	8.14.1-2+deb13u5
libcurl4t64	8.14.1-2+deb13u5	curl	8.14.1-2+deb13u5
libdaemon0	0.14-7.1+b3	libdaemon	0.14-7.1
libdav1d7	1.5.1-1	dav1d	1.5.1-1
libdb5.3t64	5.3.28+dfsg2-9	db5.3	5.3.28+dfsg2-9
libdbus-1-3	1.16.2-2	dbus	1.16.2-2
libde265-0	1.0.15-1+deb13u2	libde265	1.0.15-1+deb13u2
libdebconfclient0	0.280	cdebconf	0.280
libdeflate0	1.23-2	libdeflate	1.23-2
libexif12	0.6.25-1+deb13u1	libexif	0.6.25-1+deb13u1
libexpat1	2.8.3-1~deb13u1	expat	2.8.3-1~deb13u1
libffi8	3.4.8-2	libffi	3.4.8-2
libfontconfig1	2.15.0-2.3	fontconfig	2.15.0-2.3
libfontembed1t64	1.28.17-6+deb13u1	cups-filters	1.28.17-6+deb13u1
libfontenc1	1:1.1.8-1+b2	libfontenc	1:1.1.8-1
libfreetype6	2.13.3+dfsg-1+deb13u1	freetype	2.13.3+dfsg-1+deb13u1
libfribidi0	1.0.16-1	fribidi	1.0.16-1
libgav1-1	0.19.0-3+b1	libgav1	0.19.0-3
libgcc-s1	14.2.0-19	gcc-14	14.2.0-19
libgcrypt20	1.11.0-7+deb13u1	libgcrypt20	1.11.0-7+deb13u1
libgd3	2.3.3-14~deb13u1	libgd2	2.3.3-14~deb13u1
libgdbm-compat4t64	1.24-2	gdbm	1.24-2
libgdbm6t64	1.24-2	gdbm	1.24-2
libgirepository-1.0-1	1.84.0-1	gobject-introspection	1.84.0-1
libglib2.0-0t64	2.84.4-3~deb13u5	glib2.0	2.84.4-3~deb13u5
libgmp10	2:6.3.0+dfsg-3	gmp	2:6.3.0+dfsg-3
libgnutls30t64	3.8.9-3+deb13u4	gnutls28	3.8.9-3+deb13u4
libgomp1	14.2.0-19	gcc-14	14.2.0-19
libgpg-error0	1.51-4	libgpg-error	1.51-4
libgpgme11t64	1.24.2-3	gpgme1.0	1.24.2-3
libgpgmepp6t64	1.24.2-3	gpgme1.0	1.24.2-3
libgphoto2-6t64	2.5.31-4	libgphoto2	2.5.31-4
libgphoto2-port12t64	2.5.31-4	libgphoto2	2.5.31-4
libgraphite2-3	1.3.14-2+deb13u1	graphite2	1.3.14-2+deb13u1
libgs-common	10.05.1~dfsg-1+deb13u1	ghostscript	10.05.1~dfsg-1+deb13u1
libgs10	10.05.1~dfsg-1+deb13u1	ghostscript	10.05.1~dfsg-1+deb13u1
libgs10-common	10.05.1~dfsg-1+deb13u1	ghostscript	10.05.1~dfsg-1+deb13u1
libgssapi-krb5-2	1.21.3-5+deb13u1	krb5	1.21.3-5+deb13u1
libgutenprint-common	5.3.4.20220624T01008808d602-4	gutenprint	5.3.4.20220624T01008808d602-4
libgutenprint9	5.3.4.20220624T01008808d602-4	gutenprint	5.3.4.20220624T01008808d602-4
libharfbuzz0b	10.2.0-1+deb13u1	harfbuzz	10.2.0-1+deb13u1
libheif-plugin-dav1d	1.19.8-1+deb13u1	libheif	1.19.8-1+deb13u1
libheif-plugin-libde265	1.19.8-1+deb13u1	libheif	1.19.8-1+deb13u1
libheif1	1.19.8-1+deb13u1	libheif	1.19.8-1+deb13u1
libhogweed6t64	3.10.1-1	nettle	3.10.1-1
libhpmud0	3.22.10+dfsg0-8.1+deb13u1	hplip	3.22.10+dfsg0-8.1+deb13u1
libice6	2:1.1.1-1	libice	2:1.1.1-1
libidn12	1.43-1	libidn	1.43-1
libidn2-0	2.3.8-2	libidn2	2.3.8-2
libieee1284-3t64	0.2.11-14.1+b1	libieee1284	0.2.11-14.1
libijs-0.35	0.35-15.2	ijs	0.35-15.2
libimagequant0	2.18.0-1+b2	libimagequant	2.18.0-1
libjbig0	2.1-6.1+b2	jbigkit	2.1-6.1
libjbig2dec0	0.20-1+deb13u1	jbig2dec	0.20-1+deb13u1
libjpeg62-turbo	1:2.1.5-4	libjpeg-turbo	1:2.1.5-4
libk5crypto3	1.21.3-5+deb13u1	krb5	1.21.3-5+deb13u1
libkeyutils1	1.6.3-6	keyutils	1.6.3-6
libkmod2	34.2-2	kmod	34.2-2
libkrb5-3	1.21.3-5+deb13u1	krb5	1.21.3-5+deb13u1
libkrb5support0	1.21.3-5+deb13u1	krb5	1.21.3-5+deb13u1
libksba8	1.6.7-2+b1	libksba	1.6.7-2
liblastlog2-2	2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
liblcms2-2	2.16-2+deb13u2	lcms2	2.16-2+deb13u2
liblcms2-utils	2.16-2+deb13u2	lcms2	2.16-2+deb13u2
libldap2	2.6.10+dfsg-1	openldap	2.6.10+dfsg-1
liblerc4	4.0.0+ds-5	lerc	4.0.0+ds-5
libltdl7	2.5.4-4	libtool	2.5.4-4
liblz4-1	1.10.0-4	lz4	1.10.0-4
liblzma5	5.8.1-1+deb13u1	xz-utils	5.8.1-1+deb13u1
libmd0	1.1.0-2+b1	libmd	1.1.0-2
libmount1	2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
libncursesw6	6.5+20250216-2	ncurses	6.5+20250216-2
libnettle8t64	3.10.1-1	nettle	3.10.1-1
libnghttp2-14	1.64.0-1.1+deb13u1	nghttp2	1.64.0-1.1+deb13u1
libnghttp3-9	1.8.0-1	nghttp3	1.8.0-1
libngtcp2-16	1.11.0-1+deb13u1	ngtcp2	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8	1.11.0-1+deb13u1	ngtcp2	1.11.0-1+deb13u1
libnpth0t64	1.8-3	npth	1.8-3
libnspr4	2:4.36-1	nspr	2:4.36-1
libnss-mdns	0.15.1-4+b1	nss-mdns	0.15.1-4
libnss3	2:3.110-1+deb13u4	nss	2:3.110-1+deb13u4
libopenjp2-7	2.5.3-2.1~deb13u2	openjpeg2	2.5.3-2.1~deb13u2
libp11-kit0	0.25.5-3	p11-kit	0.25.5-3
libpam-modules	1.7.0-5	pam	1.7.0-5
libpam-modules-bin	1.7.0-5	pam	1.7.0-5
libpam-runtime	1.7.0-5	pam	1.7.0-5
libpam0g	1.7.0-5	pam	1.7.0-5
libpaper2	2.2.5-0.3+b2	libpaper	2.2.5-0.3
libpci3	1:3.13.0-2	pciutils	1:3.13.0-2
libpcre2-8-0	10.46-1~deb13u2	pcre2	10.46-1~deb13u2
libperl5.40	5.40.1-6+deb13u1	perl	5.40.1-6+deb13u1
libpixman-1-0	0.44.0-3	pixman	0.44.0-3
libpng16-16t64	1.6.48-1+deb13u5	libpng1.6	1.6.48-1+deb13u5
libpoppler-cpp2	25.03.0-5+deb13u4	poppler	25.03.0-5+deb13u4
libpoppler-glib8t64	25.03.0-5+deb13u4	poppler	25.03.0-5+deb13u4
libpoppler147	25.03.0-5+deb13u4	poppler	25.03.0-5+deb13u4
libproc2-0	2:4.0.4-9	procps	2:4.0.4-9
libpsl5t64	0.21.2-1.1+b1	libpsl	0.21.2-1.1
libpython3-stdlib	3.13.5-1	python3-defaults	3.13.5-1
libpython3.13	3.13.5-2+deb13u5	python3.13	3.13.5-2+deb13u5
libpython3.13-minimal	3.13.5-2+deb13u5	python3.13	3.13.5-2+deb13u5
libpython3.13-stdlib	3.13.5-2+deb13u5	python3.13	3.13.5-2+deb13u5
libqpdf30	12.2.0-1	qpdf	12.2.0-1
libraqm0	0.10.2-1	raqm	0.10.2-1
librav1e0.7	0.7.1-9+b2	rust-rav1e	0.7.1-9
libreadline8t64	8.2-6	readline	8.2-6
librtmp1	2.4+20151223.gitfa8646d.1-2+b5	rtmpdump	2.4+20151223.gitfa8646d.1-2
libsane-common	1.3.1-3	sane-backends	1.3.1-3
libsane-hpaio	3.22.10+dfsg0-8.1+deb13u1	hplip	3.22.10+dfsg0-8.1+deb13u1
libsane1	1.3.1-3+b1	sane-backends	1.3.1-3
libsasl2-2	2.1.28+dfsg1-9	cyrus-sasl2	2.1.28+dfsg1-9
libsasl2-modules-db	2.1.28+dfsg1-9	cyrus-sasl2	2.1.28+dfsg1-9
libseccomp2	2.6.0-2	libseccomp	2.6.0-2
libselinux1	3.8.1-1	libselinux	3.8.1-1
libsemanage-common	3.8.1-1	libsemanage	3.8.1-1
libsemanage2	3.8.1-1	libsemanage	3.8.1-1
libsensors-config	1:3.6.2-2	lm-sensors	1:3.6.2-2
libsensors5	1:3.6.2-2	lm-sensors	1:3.6.2-2
libsepol2	3.8.1-1	libsepol	3.8.1-1
libsharpyuv0	1.5.0-0.1	libwebp	1.5.0-0.1
libsm6	2:1.2.6-1	libsm	2:1.2.6-1
libsmartcols1	2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
libsnmp-base	5.9.4+dfsg-2+deb13u1	net-snmp	5.9.4+dfsg-2+deb13u1
libsnmp40t64	5.9.4+dfsg-2+deb13u1	net-snmp	5.9.4+dfsg-2+deb13u1
libsqlite3-0	3.46.1-7+deb13u2	sqlite3	3.46.1-7+deb13u2
libssh2-1t64	1.11.1-1+deb13u2	libssh2	1.11.1-1+deb13u2
libssl3t64	3.5.7-1~deb13u2	openssl	3.5.7-1~deb13u2
libstdc++6	14.2.0-19	gcc-14	14.2.0-19
libsvtav1enc2	2.3.0+dfsg-1	svt-av1	2.3.0+dfsg-1
libsystemd-shared	257.13-1~deb13u1	systemd	257.13-1~deb13u1
libsystemd0	257.13-1~deb13u1	systemd	257.13-1~deb13u1
libtasn1-6	4.20.0-2+deb13u1	libtasn1-6	4.20.0-2+deb13u1
libtiff6	4.7.0-3+deb13u3	tiff	4.7.0-3+deb13u3
libtinfo6	6.5+20250216-2	ncurses	6.5+20250216-2
libudev1	257.13-1~deb13u1	systemd	257.13-1~deb13u1
libunistring5	1.3-2	libunistring	1.3-2
libusb-1.0-0	2:1.0.28-1	libusb-1.0	2:1.0.28-1
libuuid1	2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
libv4l-0t64	1.30.1-1	v4l-utils	1.30.1-1
libv4lconvert0t64	1.30.1-1	v4l-utils	1.30.1-1
libwebp7	1.5.0-0.1	libwebp	1.5.0-0.1
libwebpdemux2	1.5.0-0.1	libwebp	1.5.0-0.1
libwebpmux3	1.5.0-0.1	libwebp	1.5.0-0.1
libwrap0	7.6.q-36	tcp-wrappers	7.6.q-36
libx11-6	2:1.8.12-1	libx11	2:1.8.12-1
libx11-data	2:1.8.12-1	libx11	2:1.8.12-1
libxau6	1:1.0.11-1	libxau	1:1.0.11-1
libxcb-render0	1.17.0-2+b1	libxcb	1.17.0-2
libxcb-shm0	1.17.0-2+b1	libxcb	1.17.0-2
libxcb1	1.17.0-2+b1	libxcb	1.17.0-2
libxdmcp6	1:1.1.5-1	libxdmcp	1:1.1.5-1
libxext6	2:1.3.4-1+b3	libxext	2:1.3.4-1
libxml2	2.12.7+dfsg+really2.9.14-2.1+deb13u3	libxml2	2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxpm4	1:3.5.17-1+deb13u1	libxpm	1:3.5.17-1+deb13u1
libxrender1	1:0.9.12-1	libxrender	1:0.9.12-1
libxt6t64	1:1.2.1-1.2+b2	libxt	1:1.2.1-1.2
libxxhash0	0.8.3-2	xxhash	0.8.3-2
libyuv0	0.0.1904.20250204-1	libyuv	0.0.1904.20250204-1
libzstd1	1.5.7+dfsg-1	libzstd	1.5.7+dfsg-1
login	1:4.16.0-2+really2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
login.defs	1:4.17.4-2	shadow	1:4.17.4-2
lsb-release	12.1-1	lsb-release-minimal	12.1-1
mawk	1.3.4.20250131-1	mawk	1.3.4.20250131-1
media-types	13.0.0	media-types	13.0.0
mount	2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
ncurses-base	6.5+20250216-2	ncurses	6.5+20250216-2
ncurses-bin	6.5+20250216-2	ncurses	6.5+20250216-2
netbase	6.5	netbase	6.5
openprinting-ppds	20230202-1	foomatic-db	20230202-1
openssl	3.5.7-1~deb13u2	openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2	openssl	3.5.7-1~deb13u2
passwd	1:4.17.4-2	shadow	1:4.17.4-2
pci.ids	0.0~2025.06.09-1	pci.ids	0.0~2025.06.09-1
perl-base	5.40.1-6+deb13u1	perl	5.40.1-6+deb13u1
perl-modules-5.40	5.40.1-6+deb13u1	perl	5.40.1-6+deb13u1
pinentry-curses	1.3.1-2	pinentry	1.3.1-2
poppler-data	0.4.12-1	poppler-data	0.4.12-1
poppler-utils	25.03.0-5+deb13u4	poppler	25.03.0-5+deb13u4
printer-driver-brlaser	6.2.7-1	brlaser	6.2.7-1
printer-driver-c2050	0.3b-10+b1	c2050	0.3b-10
printer-driver-c2esp	27-11+b3	c2esp	27-11
printer-driver-cjet	0.8.9-11	cjet	0.8.9-11
printer-driver-dymo	1.4.0-12+b1	dymo-cups-drivers	1.4.0-12
printer-driver-escpr	1.7.17-4	epson-inkjet-printer-escpr	1.7.17-4
printer-driver-foo2zjs	20200505dfsg0-3	foo2zjs	20200505dfsg0-3
printer-driver-foo2zjs-common	20200505dfsg0-3	foo2zjs	20200505dfsg0-3
printer-driver-fujixerox	1.1.0+ds-4+b2	fxlinuxprint	1.1.0+ds-4
printer-driver-gutenprint	5.3.4.20220624T01008808d602-4	gutenprint	5.3.4.20220624T01008808d602-4
printer-driver-hpcups	3.22.10+dfsg0-8.1+deb13u1	hplip	3.22.10+dfsg0-8.1+deb13u1
printer-driver-indexbraille	1.2.3-5	printer-driver-indexbraille	1.2.3-5
printer-driver-m2300w	0.51-15	m2300w	0.51-15
printer-driver-min12xxw	0.0.9-11	min12xxw	0.0.9-11
printer-driver-oki	1.0.2-1	printer-driver-oki	1.0.2-1
printer-driver-pnm2ppa	1.13-13+b1	pnm2ppa	1.13-13
printer-driver-postscript-hp	3.22.10+dfsg0-8.1+deb13u1	hplip	3.22.10+dfsg0-8.1+deb13u1
printer-driver-ptouch	1.7.1-1	ptouch-driver	1.7.1-1
printer-driver-pxljr	1.4+repack0-6	pxljr	1.4+repack0-6
printer-driver-sag-gdi	0.1-8	rastertosag-gdi	0.1-8
printer-driver-splix	2.0.1-1	splix	2.0.1-1
procps	2:4.0.4-9	procps	2:4.0.4-9
python3	3.13.5-1	python3-defaults	3.13.5-1
python3-cairo	1.27.0-2	pycairo	1.27.0-2
python3-chardet	5.2.0+dfsg-2	chardet	5.2.0+dfsg-2
python3-dbus	1.4.0-1	dbus-python	1.4.0-1
python3-distro	1.9.0-1	python-distro	1.9.0-1
python3-freetype	2.5.1-1	freetype-py	2.5.1-1
python3-gi	3.50.0-4+b1	pygobject	3.50.0-4
python3-minimal	3.13.5-1	python3-defaults	3.13.5-1
python3-pexpect	4.9-3	pexpect	4.9-3
python3-pil	11.1.0-5+deb13u4	pillow	11.1.0-5+deb13u4
python3-ptyprocess	0.7.0-6	ptyprocess	0.7.0-6
python3-reportlab	4.3.1-1	python-reportlab	4.3.1-1
python3-rlpycairo	0.3.0-3	python-rlpycairo	0.3.0-3
python3.13	3.13.5-2+deb13u5	python3.13	3.13.5-2+deb13u5
python3.13-minimal	3.13.5-2+deb13u5	python3.13	3.13.5-2+deb13u5
readline-common	8.2-6	readline	8.2-6
sed	4.9-2+deb13u1	sed	4.9-2+deb13u1
sqv	1.3.0-3+b2	rust-sequoia-sqv	1.3.0-3
ssl-cert	1.1.3	ssl-cert	1.1.3
systemd	257.13-1~deb13u1	systemd	257.13-1~deb13u1
sysvinit-utils	3.14-4	sysvinit	3.14-4
tar	1.35+dfsg-3.1	tar	1.35+dfsg-3.1
tzdata	2026c-0+deb13u1	tzdata	2026c-0+deb13u1
udev	257.13-1~deb13u1	systemd	257.13-1~deb13u1
util-linux	2.41.5-0+deb13u1	util-linux	2.41.5-0+deb13u1
wget	1.25.0-2	wget	1.25.0-2
x11-common	1:7.7+24+deb13u1	xorg	1:7.7+24+deb13u1
xfonts-encodings	1:1.0.4-2.2	xfonts-encodings	1:1.0.4-2.2
xfonts-utils	1:7.7+7	xfonts-utils	1:7.7+7
xz-utils	5.8.1-1+deb13u1	xz-utils	5.8.1-1+deb13u1
zlib1g	1:1.3.dfsg+really1.3.1-1+b1	zlib	1:1.3.dfsg+really1.3.1-1
