libavahi-common3	0.8-18ubuntu1.1	avahi	0.8-18ubuntu1.1
libavahi-core7	0.8-18ubuntu1.1	avahi	0.8-18ubuntu1.1
libblkid1	2.41.3-3ubuntu2.2	util-linux	2.41.3-3ubuntu2.2
libbrotli1	1.2.0-3build1	brotli	1.2.0-3build1
libbsd0	0.12.2-2build2	libbsd	0.12.2-2build2
libbz2-1.0	1.0.8-6ubuntu0.1	bzip2	1.0.8-6ubuntu0.1
libc-bin	2.43-2ubuntu2.3	glibc	2.43-2ubuntu2.3
libc-gconv-modules-extra	2.43-2ubuntu2.3	glibc	2.43-2ubuntu2.3
libc6	2.43-2ubuntu2.3	glibc	2.43-2ubuntu2.3
libcairo2	1.18.4-3	cairo	1.18.4-3
libcap-ng0	0.8.5-4build5	libcap-ng	0.8.5-4build5
libcap2	1:2.75-10ubuntu2	libcap2	1:2.75-10ubuntu2
libcom-err2	1.47.2-3ubuntu4	e2fsprogs	1.47.2-3ubuntu4
libcrypt1	1:4.5.1-1	libxcrypt	1:4.5.1-1
libcups2t64	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
libcupsfilters2-common	2.1.1-0ubuntu5	libcupsfilters	2.1.1-0ubuntu5
libcupsfilters2t64	2.1.1-0ubuntu5	libcupsfilters	2.1.1-0ubuntu5
libcupsimage2t64	2.4.16-1ubuntu1.3	cups	2.4.16-1ubuntu1.3
libcurl3t64-gnutls	8.18.0-1ubuntu2.4	curl	8.18.0-1ubuntu2.4
libcurl4t64	8.18.0-1ubuntu2.4	curl	8.18.0-1ubuntu2.4
libdaemon0	0.14-7.1ubuntu5	libdaemon	0.14-7.1ubuntu5
libdb5.3t64	5.3.28+dfsg2-10ubuntu1	db5.3	5.3.28+dfsg2-10ubuntu1
libdbus-1-3	1.16.2-2ubuntu4	dbus	1.16.2-2ubuntu4
libdconf1	0.49.0-4	dconf	0.49.0-4
libdebconfclient0	0.280ubuntu1	cdebconf	0.280ubuntu1
libdeflate0	1.23-2ubuntu1	libdeflate	1.23-2ubuntu1
libduktape207	2.7.0+tests-0ubuntu4	duktape	2.7.0+tests-0ubuntu4
libexif12	0.6.25-2ubuntu0.1	libexif	0.6.25-2ubuntu0.1
libexpat1	2.7.4-1	expat	2.7.4-1
libext2fs2t64	1.47.2-3ubuntu4	e2fsprogs	1.47.2-3ubuntu4
libffi8	3.5.2-4	libffi	3.5.2-4
libfontconfig1	2.17.1-3ubuntu1	fontconfig	2.17.1-3ubuntu1
libfontenc1	1:1.1.8-1build2	libfontenc	1:1.1.8-1build2
libfreetype6	2.14.2+dfsg-1ubuntu0.1	freetype	2.14.2+dfsg-1ubuntu0.1
libfribidi0	1.0.16-5	fribidi	1.0.16-5
libgcc-s1	16-20260322-1ubuntu1	gcc-16	16-20260322-1ubuntu1
libgcrypt20	1.12.0-2ubuntu1.1	libgcrypt20	1.12.0-2ubuntu1.1
libgd3	2.3.3-13ubuntu2	libgd2	2.3.3-13ubuntu2
libgdbm-compat4t64	1.26-1build1	gdbm	1.26-1build1
libgdbm6t64	1.26-1build1	gdbm	1.26-1build1
libgirepository-2.0-0	2.88.0-1	glib2.0	2.88.0-1
libglib2.0-0t64	2.88.0-1	glib2.0	2.88.0-1
libgmp10	2:6.3.0+dfsg-5ubuntu2	gmp	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64	3.8.12-2ubuntu1.1	gnutls28	3.8.12-2ubuntu1.1
libgpg-error0	1.58-2	libgpg-error	1.58-2
libgpgme45	2.0.1-2build1	gpgme1.0	2.0.1-2build1
libgpgmepp7	2.0.0-2	gpgmepp	2.0.0-2
libgphoto2-6t64	2.5.33-1ubuntu1.1	libgphoto2	2.5.33-1ubuntu1.1
libgphoto2-port12t64	2.5.33-1ubuntu1.1	libgphoto2	2.5.33-1ubuntu1.1
libgraphite2-3	1.3.14-11ubuntu1.1	graphite2	1.3.14-11ubuntu1.1
libgs-common	10.06.0~dfsg-3ubuntu1	ghostscript	10.06.0~dfsg-3ubuntu1
libgs10	10.06.0~dfsg-3ubuntu1	ghostscript	10.06.0~dfsg-3ubuntu1
libgs10-common	10.06.0~dfsg-3ubuntu1	ghostscript	10.06.0~dfsg-3ubuntu1
libgssapi-krb5-2	1.22.1-2ubuntu4.1	krb5	1.22.1-2ubuntu4.1
libgutenprint-common	5.3.4.20220624T01008808d602-4ubuntu2	gutenprint	5.3.4.20220624T01008808d602-4ubuntu2
libgutenprint9	5.3.4.20220624T01008808d602-4ubuntu2	gutenprint	5.3.4.20220624T01008808d602-4ubuntu2
libharfbuzz0b	12.3.2-2	harfbuzz	12.3.2-2
libheif-plugin-aomdec	1.21.2-3ubuntu0.4	libheif	1.21.2-3ubuntu0.4
libheif1	1.21.2-3ubuntu0.4	libheif	1.21.2-3ubuntu0.4
libhogweed6t64	3.10.2-1	nettle	3.10.2-1
libhpmud0	3.24.4+dfsg0-0ubuntu8.1	hplip	3.24.4+dfsg0-0ubuntu8.1
libice6	2:1.1.1-1build1	libice	2:1.1.1-1build1
libidn12	1.43-2ubuntu0.26.04.1	libidn	1.43-2ubuntu0.26.04.1
libidn2-0	2.3.8-4build1	libidn2	2.3.8-4build1
libieee1284-3t64	0.2.11-14.1build2	libieee1284	0.2.11-14.1build2
libijs-0.35	0.35-16	ijs	0.35-16
libimagequant0	4.4.1-1	libimagequant	4.4.1-1
libjbig0	2.1-6.1ubuntu3	jbigkit	2.1-6.1ubuntu3
libjbig2dec0	0.20-1ubuntu0.26.04.1	jbig2dec	0.20-1ubuntu0.26.04.1
libjpeg-turbo8	2.1.5-4ubuntu4	libjpeg-turbo	2.1.5-4ubuntu4
